AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
MAA560427;SQ;0302/21;MAA;SIN;2019-03-19 10:30;2019-03-20 01:50:00.0;2019-03-21 13:55:00.0;
CEB822624;OZ;236/20;CEB;ORD;2019-03-19 18:00;2019-03-20 01:50:00.0;2019-03-20 18:25:00.0;
PVG956824;BA;160/20;PVG;LHR;2019-03-15 12:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG071118;BA;160/20;PVG;LHR;2019-03-14 15:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG071121;BA;160/20;PVG;LHR;2019-03-15 14:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG071122;BA;160/20;PVG;LHR;2019-03-15 14:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
PVG956825;BA;160/20;PVG;LHR;2019-03-18 12:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG070621;BA;160/20;PVG;LHR;2019-03-15 16:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG070627;BA;160/20;PVG;LHR;2019-03-15 15:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
CKG070622;BA;160/20;PVG;LHR;2019-03-15 14:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
PVG956826;BA;160/20;PVG;LHR;2019-03-18 12:00;2019-03-20 01:55:00.0;2019-03-20 06:45:00.0;
NRT212879;CV;6353A/20;NRT;OPO;2019-03-20 17:15;2019-03-20 02:00:00.0;2019-03-23 08:00:00.0;
HKG010263;TK;6789;HKG;TLV;2019-03-16 14:17;2019-03-20 02:00:00.0;2019-03-21 15:35:00.0;
SZV016399;CA;1066/20;PVG;DFW;2019-03-14 14:00;2019-03-20 02:00:00.0;2019-03-20 10:00:00.0;
NUE055312;7L;262;FRA;PVG;2019-03-19 12:58;2019-03-20 02:00:00.0;2019-03-21 17:15:00.0;
SZX220022;RU;238;HKG;AMS;2019-03-18 10:00;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
SZX220024;RU;238;HKG;AMS;2019-03-18 10:00;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
CAN549396;M7;6867/16;CAN;MEX;2019-03-12 10:00;2019-03-20 02:00:00.0;2019-03-20 08:50:00.0;2019-03-18 09:00
PVG957455;RU;298/20;PVG;FRA;2019-03-18 16:32;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG957457;RU;298/20;PVG;FRA;2019-03-18 16:32;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG963171;RU;298/20;PVG;STR;2019-03-18 15:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG965821;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966423;RU;298/20;PVG;FRA;2019-03-18 16:50;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966424;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966430;RU;298/20;PVG;FRA;2019-03-18 16:50;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966433;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
CAN550509;CX;036/14;CAN;KIX;2019-03-12 10:00;2019-03-20 02:00:00.0;2019-03-14 23:59:00.0;2019-03-14 18:00
WAW119995;BA;0057/23;WRO;JNB;2019-03-18 15:00;2019-03-20 02:00:00.0;2019-03-24 10:15:00.0;
SZX220025;RU;238;HKG;AMS;2019-03-18 10:00;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
MHG007535;5Y;606;FRA;HSV;2019-03-19 12:00;2019-03-20 02:00:00.0;2019-03-20 18:05:00.0;
FRA044448;CV;7983;FRA;PVG;2019-03-19 09:00;2019-03-20 02:00:00.0;2019-03-21 21:45:00.0;
PVG957454;RU;298/20;PVG;FRA;2019-03-18 16:32;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG957456;RU;298/20;PVG;FRA;2019-03-18 16:32;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
WUH009143;TK;6348/21;HKG;TLV;2019-03-15 20:32;2019-03-20 02:00:00.0;2019-03-21 15:35:00.0;
PVG959037;RU;298/20;PVG;FKB;2019-03-14 18:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG960632;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
NGB285128;RU;298/20;NGB;NUE;2019-03-17 15:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG965782;RU;298/20;PVG;FRA;2019-03-15 17:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG965815;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG965816;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966122;PO;241/20;PVG;SYD;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-20 22:20:00.0;
PVG966422;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966426;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966427;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966428;RU;298/20;PVG;FRA;2019-03-18 16:51;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG967363;RU;298/20;PVG;FRA;2019-03-18 14:17;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG968393;RU;298/20;PVG;BUD;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-24 00:00:00.0;
NRT212608;CV;6353A/20;NRT;OPO;2019-03-20 17:15;2019-03-20 02:00:00.0;2019-03-23 08:00:00.0;
PNQ196503;EY;203/20;BOM;NUE;2019-03-13 10:30;2019-03-20 02:00:00.0;2019-03-21 08:00:00.0;
PNQ196504;EY;203/20;BOM;PRG;2019-03-13 10:30;2019-03-20 02:00:00.0;2019-03-20 10:30:00.0;
SZV016355;CA;1066/20;PVG;DFW;2019-03-11 14:00;2019-03-20 02:00:00.0;2019-03-20 10:00:00.0;
BLR879242;QR;8177/20;BLR;NUE;2019-03-18 14:00;2019-03-20 02:00:00.0;2019-03-23 08:00:00.0;
FRA044440;QR;8142;FRA;KUL;2019-03-19 08:00;2019-03-20 02:00:00.0;2019-03-22 07:55:00.0;
BLR879284;SQ;3711/20;BLR;STR;2019-03-19 10:30;2019-03-20 02:00:00.0;2019-03-27 10:30:00.0;
FRA044478;7L;262;FRA;PVG;2019-03-19 20:00;2019-03-20 02:00:00.0;2019-03-21 17:15:00.0;
CAN549402;C8;8726/16;CAN;MXP;2019-03-12 14:00;2019-03-20 02:00:00.0;2019-03-25 20:00:00.0;
CAN549407;C8;8726/16;CAN;MIL;2019-03-13 10:00;2019-03-20 02:00:00.0;2019-03-25 20:00:00.0;2019-03-19 09:23
PVG959038;RU;298/20;PVG;FKB;2019-03-14 18:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG963179;RU;298/20;PVG;STR;2019-03-18 15:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG964383;RU;298/20;PVG;FMO;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG965820;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
SZV016314;CA;1066/20;PVG;DFW;2019-03-07 14:00;2019-03-20 02:00:00.0;2019-03-20 10:00:00.0;
BLR879286;SQ;3711/20;BLR;NUE;2019-03-19 10:30;2019-03-20 02:00:00.0;2019-03-25 10:30:00.0;
CAN549409;CV;8575/15;CAN;LYS;2019-03-12 14:00;2019-03-20 02:00:00.0;2019-03-18 11:00:00.0;
CAN549410;CV;9651/14;CAN;GRZ;2019-03-13 14:00;2019-03-20 02:00:00.0;2019-03-25 20:00:00.0;2019-03-19 13:58
PVG964382;RU;298/20;PVG;FMO;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-22 19:00:00.0;
PVG965799;RU;298/20;PVG;FRA;2019-03-18 18:02;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966425;RU;298/20;PVG;FRA;2019-03-18 16:53;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG966431;RU;298/20;PVG;FRA;2019-03-18 16:50;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG967383;RU;298/20;PVG;FRA;2019-03-18 14:23;2019-03-20 02:00:00.0;2019-03-20 19:00:00.0;
PVG967630;CI;5637/21;PVG;FMO;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-26 10:05:00.0;
PVG968395;RU;298/20;PVG;BUD;2019-03-17 18:00;2019-03-20 02:00:00.0;2019-03-25 00:00:00.0;
CAN550486;OZ;242/16;CAN;ORD;2019-03-13 10:00;2019-03-20 02:00:00.0;2019-03-16 22:20:00.0;2019-03-18 14:24
BOM339585;EY;203/20;BOM;STR;2019-03-13 10:30;2019-03-20 02:00:00.0;2019-03-22 10:30:00.0;
DEL174775;LX;1498/20;DEL;PRG;2019-03-19 09:30;2019-03-20 02:05:00.0;2019-03-20 18:55:00.0;
KUL034440;QR;556/22;KUL;BOM;2019-03-15 10:00;2019-03-20 02:15:00.0;2019-03-23 02:30:00.0;
HYD403010;QR;0067/21;HYD;FRA;2019-03-19 11:00;2019-03-20 02:15:00.0;2019-03-25 13:00:00.0;
ICN609437;LH;982/20;ICN;DUB;2019-03-19 14:00;2019-03-20 02:15:00.0;2019-03-20 22:45:00.0;
HYD402995;QR;0067/21;HYD;FRA;2019-03-19 11:00;2019-03-20 02:15:00.0;2019-03-21 00:00:00.0;
HYD403011;QR;0067/21;HYD;FRA;2019-03-19 11:00;2019-03-20 02:15:00.0;2019-03-25 13:00:00.0;
